Kanal A	Kanal B
(mV)	(mV)

714	555
952	1190
1190	2460
1349	3413
1587	4286
1746	5238
1984	5873
2143	5555
2381	4127
2619	2857
2936	3254
3095	4127
3333	5555
3571	7460
3809	8968
4047	8968
4286	7698
4524	6428
4762	5476
4920	5079
5159	5555
5397	6825
5555	8412
5714	9444
5952	9841
6111	10000
6270	9682
6428	9127
6666	8492
6905	7936
7063	7619
7222	7698
7460	8016
7619	8571
7857	9048
8016	9444
8095	9524
8174	9603
8254	9603
8333	9524
8412	9524
8492	9524
8571	9524
8651	9524
8730	9524
8809	9444
8889	9524
8968	9524
9048	9603
9048	9603
9127	9603
9127	9682
9127	9682
9206	9682
9206	9682
9286	9762
9206	9762
9286	9762
9286	9762
9286	9841
9286	9841
9286	9841
9286	9841
9286	9841
9365	9920
9365	9920
9365	10000
9365	9920
9444	10000
9365	10000
9365	10000
9286	-10000
9286	-10000
9206	-10000
9206	-10000
9127	-10000
9048	-10000
8889	-9603
8809	-7619
8651	-6032
8492	-4682
8254	-3730
8095	-3016
8016	-2381
7936	-1905
7778	-1508
7698	-1270
7540	-952
7460	-793
7302	-635
7143	-555
6984	-476
6746	-476
6508	-397
6270	-317
6111	-317
5873	-238
5635	-238
5397	-238
5159	-159
4920	-159
4603	-159
4365	-159
4127	-159
3889	-159
3730	-159
3492	-159
3175	-159
2936	-159
2619	-159
2301	-159
1984	-159
1667	-159
1349	-159
1111	-159
793	-159
555	-79
238	-79
79	-159
0	-159
-79	-159
-79	-159
-79	-159
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	-79
-79	0
-79	0
-79	-79
-79	0
-79	-79
-79	0
-79	0
-79	0
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	0
-79	-79
-79	0
-79	0
-79	0
-79	0
-79	0
-79	-79
-79	0
-79	-79
-79	0
-79	0
-79	0
-79	-79
-79	0
-79	-79
-79	-79
-79	0
-79	0
-79	0
-79	-79
-79	0
-79	0
-79	-79
-79	0
-79	0
-79	-79
-79	0
-79	0
-79	0
-79	-79
-79	0
-79	0
79	159
238	317
476	397
714	476
952	873
1111	2222
1270	3175
1508	4047
1667	5000
1905	5794
2143	5794
2381	4524
2619	3016
2857	3095
3095	3889
3333	5238
3571	7143
3730	8809
4047	9127
4206	8095
4444	6746
4682	5714
4920	5159
5159	5397
5317	6508
5555	8016
5714	9286
5873	9841
6032	10000
6270	9762
6428	9286
6587	8651
6825	8095
6984	7698
7222	7619
7460	7936
7619	8412
7778	8968
7936	9365
8095	9603
8174	9603
8254	9524
8333	9524
8412	9524
8492	9524
8571	9524
8651	9524
8730	9524
8809	9444
8809	9524
8968	9524
8968	9603
9048	9603
9048	9603
9127	9603
9127	9682
9206	9682
9206	9682
9286	9682
9286	9682
9286	9762
9286	9762
9286	9762
9286	9841
9286	9841
9365	9841
9365	9841
9365	9920
9365	9920
9365	9920
9365	10000
9365	10000
9365	10000
9444	10000
9365	10000
9286	-10000
9286	-10000
9206	-10000
9206	-10000
9048	-10000
8968	-10000
8809	-8095
8651	-6428
8571	-5079
8333	-4047
8174	-3175
8016	-2539
7936	-2063
7857	-1667
7698	-1349
7619	-1032
7540	-873
7381	-714
7222	-635
7063	-555
6825	-476
6587	-397
6349	-317
6111	-317
5952	-238
5635	-238
5397	-238
5238	-159
5000	-159
4682	-159
4444	-159
4206	-159
3968	-159
3730	-159
3492	-159
3254	-159
3016	-159
2698	-159
2460	-159
2063	-159
1746	-159
1429	-159
1190	-159
873	-79
555	-159
317	-79
79	-159
0	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	-79
-79	0
-79	-79
-79	-79
-79	-79
-79	0
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	0
-79	0
-79	-79
-79	0
-79	-79
-79	0
-79	-79
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	-79
-79	-79
-79	-79
-79	-79
-79	0
-79	-79
-79	-79
-79	0
-79	0
-79	0
-79	0
-79	0
-79	-79
-79	0
-79	0
-79	0
-79	-79
-79	0
-79	0
-79	-79
-79	-79
-79	0
-79	0
-79	0
-79	0
-79	0
-79	0
-79	0
-79	0
-79	0
-79	0
-79	-79
-79	0
79	79
238	317
476	476
635	476
873	714
1032	1984
1270	2936
1429	3809
1667	4762
1825	5635
2063	5873
2301	4920
2539	3254
2777	3016
3016	3730
3254	4920
3492	6746
3730	8571
3968	9206
4206	8412
4365	7063
4603	5873
4841	5159
5079	5238
5317	6190
5476	7698
5635	9048
5873	9841
6032	9920
6190	9841
6349	9444
6587	8809
6746	8174
6984	7778
7222	7619
7381	7936
7540	8333
7778	8889
7936	9286
8095	9524
8174	9603
8174	9524
8333	9524
8412	9524
8492	9524
8571	9524
8571	9524
8651	9524
8730	9524
8809	9524
8889	9524
8968	9524
8968	9524
9048	9603
9127	9603
9127	9682
9206	9682
9206	9682
9206	9762
9206	9682
9286	9682
9286	9762
9286	9762
9286	9762
9286	9841
9286	9841
9286	9841
9365	9920
9365	9841
9365	9920
9365	9920
9444	10000
9365	10000
9444	10000
9365	10000
9286	-10000
9286	-10000
9286	-10000
9206	-10000
9127	-10000
8968	-10000
8809	-8571
8730	-6746
8571	-5317
8333	-4206
8174	-3333
8016	-2698
7936	-2143
7857	-1746
7698	-1349
7619	-1111
7540	-952
7381	-793
7222	-635
7063	-476
6905	-476
6666	-397
6428	-317
6190	-317
5952	-317
5714	-238
5476	-238
5238	-238
5000	-159
4762	-159
4524	-159
4286	-159
4047	-159
3809	-159
3571	-159
3333	-79
3095	-79
2777	-159
2460	-159
2143	-159
1825	-159
1508	-159
1190	-159
873	-159
635	-159
397	-159
159	-79
0	-159
-79	-79
-79	-79
-79	-79
