
TIME STEP:
80 = 1ms

VOLTAGE STEP:
32 = 30mV

N	CH1

1	255
2	255
3	255
4	62
5	60
6	60
7	60
8	60
9	60
10	60
11	60
12	60
13	60
14	60
15	60
16	60
17	60
18	60
19	60
20	60
21	60
22	60
23	59
24	60
25	60
26	60
27	60
28	60
29	60
30	59
31	60
32	60
33	59
34	60
35	60
36	60
37	60
38	60
39	60
40	60
41	60
42	60
43	60
44	60
45	60
46	60
47	60
48	60
49	60
50	60
51	60
52	59
53	60
54	60
55	60
56	60
57	60
58	60
59	60
60	60
61	60
62	60
63	60
64	60
65	60
66	60
67	60
68	60
69	60
70	60
71	60
72	60
73	60
74	60
75	60
76	60
77	60
78	60
79	60
80	60
81	59
82	60
83	59
84	60
85	60
86	60
87	60
88	59
89	60
90	60
91	60
92	60
93	60
94	59
95	60
96	60
97	59
98	60
99	60
100	60
101	60
102	60
103	60
104	60
105	60
106	60
107	60
108	59
109	60
110	58
111	60
112	60
113	59
114	60
115	60
116	60
117	60
118	60
119	60
120	60
121	59
122	60
123	60
124	60
125	60
126	60
127	60
128	60
129	60
130	60
131	60
132	60
133	60
134	60
135	60
136	60
137	60
138	60
139	60
140	60
141	60
142	60
143	60
144	60
145	60
146	60
147	60
148	60
149	60
150	60
151	60
152	60
153	60
154	60
155	60
156	60
157	60
158	60
159	59
160	60
161	60
162	60
163	60
164	60
165	60
166	60
167	60
168	60
169	60
170	60
171	60
172	60
173	60
174	60
175	60
176	60
177	60
178	60
179	60
180	60
181	60
182	60
183	60
184	60
185	60
186	60
187	60
188	60
189	60
190	60
191	59
192	60
193	59
194	59
195	59
196	59
197	60
198	59
199	60
200	59
201	59
202	59
203	59
204	59
205	60
206	60
207	60
208	59
209	60
210	59
211	59
212	59
213	59
214	59
215	59
216	60
217	59
218	59
219	59
220	60
221	59
222	59
223	59
224	59
225	59
226	59
227	59
228	59
229	59
230	59
231	59
232	59
233	59
234	59
235	59
236	59
237	59
238	58
239	59
240	59
241	59
242	59
243	58
244	59
245	59
246	59
247	59
248	58
249	59
250	58
251	59
252	58
253	58
254	59
255	58
256	59
257	58
258	59
259	59
260	58
261	58
262	58
263	58
264	59
265	59
266	59
267	58
268	59
269	59
270	59
271	59
272	59
273	58
274	59
275	59
276	59
277	59
278	58
279	59
280	59
281	59
282	58
283	59
284	58
285	58
286	59
287	58
288	59
289	58
290	58
291	58
292	58
293	58
294	59
295	59
296	59
297	59
298	59
299	59
300	59
301	60
302	59
303	59
304	59
305	59
306	60
307	59
308	60
309	59
310	59
311	59
312	59
313	60
314	59
315	59
316	60
317	59
318	59
319	59
320	60
321	59
322	59
323	59
324	59
325	59
326	60
327	59
328	59
329	60
330	60
331	60
332	60
333	60
334	60
335	60
336	60
337	60
338	60
339	59
340	60
341	60
342	59
343	60
