
TIME STEP:
80 = 1ms

VOLTAGE STEP:
32 = 0.1V

N	CH1

1	176
2	176
3	176
4	176
5	175
6	174
7	174
8	173
9	173
10	173
11	172
12	171
13	171
14	170
15	170
16	169
17	169
18	168
19	168
20	168
21	168
22	168
23	168
24	167
25	167
26	167
27	167
28	167
29	167
30	167
31	167
32	167
33	167
34	168
35	168
36	168
37	168
38	169
39	170
40	170
41	170
42	171
43	171
44	172
45	172
46	173
47	173
48	174
49	174
50	174
51	176
52	176
53	176
54	176
55	176
56	177
57	177
58	177
59	177
60	177
61	177
62	178
63	177
64	177
65	177
66	178
67	177
68	177
69	177
70	177
71	176
72	176
73	176
74	174
75	174
76	173
77	173
78	172
79	172
80	171
81	171
82	171
83	170
84	170
85	169
86	169
87	169
88	169
89	168
90	167
91	168
92	167
93	167
94	167
95	167
96	167
97	167
98	167
99	167
100	167
101	167
102	167
103	167
104	168
105	168
106	169
107	169
108	170
109	170
110	171
111	171
112	172
113	172
114	173
115	173
116	174
117	174
118	175
119	175
120	175
121	176
122	176
123	176
124	176
125	177
126	177
127	177
128	177
129	177
130	178
131	177
132	177
133	178
134	178
135	177
136	177
137	177
138	176
139	176
140	176
141	175
142	175
143	174
144	174
145	173
146	173
147	172
148	172
149	171
150	171
151	170
152	170
153	170
154	169
155	169
156	168
157	168
158	168
159	168
160	168
161	167
162	168
163	167
164	167
165	167
166	167
167	167
168	167
169	167
170	167
171	167
172	168
173	168
174	168
175	169
176	169
177	170
178	170
179	171
180	172
181	172
182	173
183	173
184	174
185	174
186	174
187	175
188	175
189	176
190	176
191	176
192	176
193	177
194	177
195	177
196	177
197	177
198	178
199	177
200	178
201	178
202	178
203	177
204	177
205	177
206	177
207	177
208	176
209	176
210	175
211	175
212	174
213	174
214	173
215	173
216	172
217	172
218	171
219	171
220	170
221	170
222	170
223	169
224	169
225	169
226	168
227	168
228	168
229	168
230	167
231	167
232	167
233	167
234	167
235	167
236	167
237	167
238	168
239	168
240	168
241	168
242	168
243	169
244	169
245	170
246	170
247	171
248	172
249	172
250	172
251	173
252	173
253	174
254	174
255	175
256	175
257	176
258	176
259	176
260	176
261	176
262	177
