
TIME STEP:
80 = 1ms

VOLTAGE STEP:
32 = 30mV

N	CH1

1	167
2	164
3	161
4	158
5	154
6	150
7	145
8	141
9	136
10	133
11	130
12	126
13	124
14	122
15	121
16	121
17	122
18	124
19	126
20	129
21	132
22	136
23	141
24	145
25	149
26	154
27	157
28	161
29	164
30	166
31	168
32	169
33	169
34	169
35	167
36	165
37	162
38	158
39	154
40	151
41	146
42	142
43	138
44	134
45	130
46	127
47	125
48	123
49	122
50	122
51	122
52	123
53	125
54	128
55	132
56	136
57	140
58	143
59	148
60	153
61	157
62	160
63	163
64	166
65	168
66	169
67	169
68	169
69	168
70	165
71	163
72	160
73	156
74	152
75	148
76	144
77	139
78	135
79	131
80	128
81	125
82	123
83	122
84	121
85	122
86	123
87	124
88	127
89	131
90	134
91	138
92	142
93	147
94	151
95	155
96	159
97	162
98	165
99	167
100	169
101	169
102	169
103	167
104	166
105	163
106	160
107	157
108	153
109	149
110	144
111	140
112	136
113	132
114	128
115	126
116	124
117	122
118	122
119	121
120	122
121	124
122	126
123	129
124	133
125	137
126	141
127	146
128	150
129	154
130	158
131	161
132	164
133	167
134	168
135	169
136	169
137	168
138	167
139	165
140	161
141	158
142	154
143	150
144	146
145	142
146	138
147	133
148	130
149	126
150	124
151	123
152	122
153	122
154	122
155	124
156	126
157	129
158	132
159	136
160	140
161	145
162	149
163	153
164	157
165	160
166	164
167	166
168	168
169	169
170	169
171	169
172	167
173	165
174	162
175	159
176	156
177	152
178	147
179	143
180	139
181	135
182	131
183	128
184	125
185	123
186	122
187	122
188	122
189	123
190	125
191	128
192	131
193	135
194	139
195	143
196	148
197	152
198	156
199	159
200	163
201	166
202	167
203	168
204	169
205	169
206	167
207	166
208	163
209	160
210	157
211	153
212	148
213	144
214	140
215	136
216	132
217	128
218	125
219	123
220	122
221	122
222	122
223	123
224	125
225	127
226	130
227	134
228	138
229	142
230	146
231	151
232	155
233	159
234	162
235	165
236	167
237	169
238	169
239	169
240	168
241	166
242	164
243	161
244	157
245	154
246	150
247	145
248	141
249	137
250	132
251	129
252	126
253	124
254	122
255	121
256	122
257	123
258	124
259	126
260	129
261	133
262	137
263	141
264	145
265	149
266	153
267	157
268	161
269	164
270	166
271	168
272	169
273	169
274	168
275	166
276	165
277	162
278	158
279	155
280	151
281	146
282	142
283	138
284	134
285	130
286	127
287	124
288	123
289	121
290	121
291	122
292	124
293	126
294	128
295	132
296	135
297	139
298	144
299	148
300	153
301	157
302	160
303	162
304	166
305	168
306	169
307	169
308	169
309	167
310	165
311	163
312	160
313	156
314	151
315	147
316	143
317	139
318	135
319	131
320	128
321	125
322	123
323	121
324	121
325	122
326	123
327	125
328	127
329	131
330	134
331	138
332	143
333	147
334	152
335	155
336	159
337	162
338	165
339	167
340	168
341	169
342	169
343	167
344	166
345	163
346	161
347	157
348	154
349	149
350	145
351	140
352	135
353	132
354	128
355	126
356	124
357	122
358	122
359	122
360	122
361	125
362	127
363	130
364	133
365	137
366	141
367	146
368	150
369	154
370	158
371	161
372	164
373	166
374	168
375	169
376	168
377	168
378	166
379	164
380	161
381	158
382	154
383	150
384	146
385	141
386	137
387	133
388	130
389	126
390	124
391	122
392	122
393	121
394	122
395	124
396	126
397	129
398	132
399	136
400	140
401	144
402	149
403	154
404	157
405	161
406	164
407	166
408	168
409	169
410	169
411	168
412	167
413	164
414	163
415	159
416	155
417	151
418	147
419	142
420	138
421	134
422	130
423	127
424	125
425	122
426	121
427	121
428	121
429	123
430	125
431	128
432	131
433	135
434	139
435	143
436	148
437	152
438	156
439	159
440	163
441	165
442	167
443	168
444	168
445	168
446	167
447	165
448	163
449	160
450	156
451	152
452	148
453	144
454	139
455	135
456	132
457	128
458	125
459	123
460	122
461	121
462	122
463	122
464	124
465	127
466	130
467	134
468	138
469	142
470	146
471	151
472	154
473	158
474	162
475	165
476	167
477	168
478	168
479	168
480	168
481	166
482	164
483	160
484	157
485	153
486	149
487	145
488	140
489	136
490	132
491	129
492	126
493	123
494	122
495	121
496	122
497	122
498	124
499	126
500	129
501	132
502	137
503	141
504	146
505	150
506	154
507	158
508	161
509	163
510	166
511	168
512	168
513	169
514	168
515	166
516	164
517	162
518	158
519	155
520	151
521	146
522	142
523	138
524	134
525	130
526	127
527	124
528	122
529	122
530	122
531	122
532	124
533	126
534	128
535	132
536	136
537	140
538	144
539	148
540	152
541	156
542	160
543	163
544	165
545	167
546	169
547	169
548	168
549	167
550	166
551	163
552	160
553	156
554	152
555	148
556	143
557	139
558	134
559	131
560	128
561	126
562	123
563	122
564	122
565	122
566	123
567	125
568	128
569	131
570	135
571	139
572	143
573	148
574	152
575	156
576	160
577	163
578	166
579	168
580	169
581	169
582	169
583	168
584	166
585	164
586	161
587	157
588	153
589	149
590	144
591	140
592	137
593	132
594	129
595	126
596	124
597	123
598	122
599	122
600	123
601	125
602	127
603	130
604	134
605	138
606	142
607	146
608	150
609	154
610	158
611	162
612	165
613	166
614	168
615	169
616	169
617	168
618	167
619	164
620	161
621	159
622	154
623	150
624	146
625	142
626	137
627	133
628	130
629	126
630	124
631	123
632	122
633	122
634	122
635	124
636	127
637	129
638	133
639	137
640	140
641	145
642	150
643	154
644	157
645	161
646	164
647	166
648	167
649	169
650	169
