
TIME STEP:
80 = 1ms

VOLTAGE STEP:
32 = 30mV

N	CH1

1	146
2	146
3	145
4	144
5	143
6	143
7	142
8	141
9	140
10	140
11	139
12	140
13	139
14	139
15	138
16	138
17	138
18	138
19	138
20	139
21	140
22	139
23	140
24	141
25	142
26	142
27	143
28	143
29	144
30	145
31	145
32	146
33	147
34	148
35	148
36	149
37	149
38	149
39	150
40	150
41	150
42	150
43	150
44	150
45	149
46	149
47	148
48	148
49	147
50	147
51	146
52	145
53	145
54	144
55	144
56	142
57	142
58	141
59	140
60	140
61	139
62	139
63	139
64	139
65	138
66	138
67	139
68	138
69	139
70	139
71	140
72	140
73	141
74	142
75	143
76	143
77	144
78	145
79	146
80	147
81	147
82	148
83	149
84	149
85	149
86	150
87	150
88	150
89	150
90	150
91	150
92	150
93	150
94	149
95	149
96	149
97	148
98	147
99	147
100	146
101	145
102	145
103	144
104	143
105	142
106	141
107	141
108	140
109	139
110	139
111	139
112	139
113	138
114	138
115	139
116	139
117	139
118	139
119	139
120	140
121	140
122	141
123	142
124	142
125	143
126	143
127	144
128	146
129	146
130	147
131	147
132	148
133	149
134	149
135	150
136	149
137	149
138	150
139	150
140	149
141	150
142	150
143	149
144	148
145	148
146	148
147	147
148	146
149	145
150	144
151	144
152	143
153	143
154	142
155	141
156	140
157	140
158	140
159	139
160	139
161	139
162	138
163	138
164	138
165	138
166	139
167	139
168	139
169	140
170	141
171	141
172	141
173	142
174	143
175	144
176	144
177	145
178	146
179	147
180	148
181	148
182	149
183	149
184	149
185	149
186	149
187	150
188	149
189	150
190	149
191	149
192	149
193	149
194	148
195	147
196	147
197	146
198	145
199	145
200	144
201	143
202	142
203	141
204	141
205	140
206	140
207	139
208	139
209	139
210	138
211	138
212	138
213	138
214	139
215	138
216	139
217	140
218	140
219	141
220	141
221	142
222	143
223	143
224	144
225	145
226	146
227	146
228	148
229	148
230	148
231	149
232	149
233	149
234	150
235	150
236	150
237	150
238	150
239	150
240	149
241	149
242	148
243	148
244	148
245	147
246	147
247	146
248	145
249	144
250	144
251	142
252	142
253	142
254	140
255	140
256	139
257	139
258	138
259	138
260	138
261	139
262	138
263	139
264	140
265	140
266	140
267	140
268	141
269	141
270	142
271	142
272	143
273	144
274	146
275	147
276	147
277	148
278	148
279	149
280	149
281	149
282	150
283	150
284	150
285	150
286	150
287	150
288	149
289	149
290	150
291	149
292	148
293	148
294	147
295	146
296	146
297	145
298	144
299	144
300	143
301	142
302	141
303	141
304	140
305	140
306	140
307	139
308	138
309	139
310	139
311	139
312	139
313	140
314	140
315	140
316	141
317	142
318	142
319	143
320	143
321	144
322	145
323	146
324	146
325	148
326	148
327	148
328	149
329	150
330	150
331	150
332	150
333	150
334	151
335	150
336	150
337	150
338	150
339	149
340	149
341	148
342	148
343	147
344	146
345	146
346	145
347	144
348	143
349	142
350	141
351	141
352	140
353	140
354	140
355	139
356	139
357	139
358	139
359	139
360	139
361	139
362	139
363	140
364	140
365	141
366	142
367	142
368	143
369	144
370	144
371	145
372	146
373	146
374	147
375	148
376	148
377	149
378	149
379	150
380	150
381	150
382	150
383	151
384	150
385	150
386	149
387	149
388	149
389	148
390	147
391	147
392	146
393	145
394	144
395	144
396	144
397	143
398	142
399	141
400	140
401	140
402	139
403	139
404	140
405	139
406	138
407	139
408	139
409	139
410	139
411	139
412	140
413	140
414	141
415	141
416	142
417	143
418	144
419	145
420	146
421	146
422	147
423	148
424	148
425	149
426	149
427	149
428	150
429	150
430	150
431	150
432	151
433	150
434	150
435	150
436	149
437	148
438	148
439	148
440	147
441	146
442	145
443	145
444	144
445	143
446	142
447	142
448	141
449	141
450	140
451	140
452	138
453	139
454	138
455	138
456	139
457	139
458	139
459	139
460	139
461	139
462	140
463	141
464	141
465	142
466	142
467	144
468	144
469	145
470	146
471	146
472	147
473	147
474	148
475	149
476	150
477	150
478	150
479	149
480	150
481	150
482	150
483	150
484	149
485	149
486	148
487	148
488	147
489	147
490	146
491	145
492	144
493	143
494	143
495	142
496	142
497	141
498	141
499	140
500	140
501	139
502	139
503	138
504	139
505	138
506	138
507	139
508	138
509	139
510	140
511	140
512	140
513	141
514	142
515	142
516	144
517	144
518	145
519	146
520	146
521	147
522	148
523	148
524	148
525	149
526	149
527	150
528	150
529	150
530	150
531	149
532	150
533	148
534	148
535	148
536	147
537	147
538	146
539	146
540	145
541	144
542	143
543	143
544	142
545	140
546	140
547	139
548	139
549	139
550	139
551	139
552	138
553	138
554	138
555	139
556	139
557	139
558	139
559	140
560	140
561	141
562	142
563	142
564	142
565	143
566	144
567	145
568	145
569	147
570	147
571	148
572	148
573	149
574	149
575	149
576	150
577	150
578	150
579	149
580	149
581	149
582	149
583	148
584	148
585	147
586	146
587	146
588	145
589	145
590	144
591	143
592	143
593	142
594	141
595	140
596	140
597	140
598	139
599	139
600	138
601	138
602	138
603	138
604	138
605	138
606	139
607	139
608	140
609	140
610	141
611	141
612	142
613	143
614	144
615	144
616	146
617	146
618	147
619	147
620	148
621	148
622	148
623	149
624	149
625	149
626	149
627	149
628	149
629	150
630	149
631	149
632	148
633	148
634	147
635	146
636	146
637	146
638	145
639	144
640	143
641	142
642	142
643	141
644	140
645	140
646	139
647	139
648	139
649	139
650	138
651	138
652	138
653	139
654	139
655	140
656	140
657	141
658	141
659	142
660	142
661	143
662	144
663	145
664	145
665	146
666	146
667	147
668	148
669	148
670	148
671	149
672	149
673	150
674	150
675	150
676	150
677	150
678	150
679	150
680	149
681	148
682	148
683	147
684	146
685	146
686	145
687	144
688	144
689	143
690	142
691	142
692	141
693	140
694	139
695	139
696	139
697	138
698	138
699	138
700	138
701	138
702	139
703	139
704	140
705	140
706	140
707	141
708	141
709	142
710	143
711	144
712	144
713	146
714	146
715	147
716	148
717	148
718	149
719	149
720	149
721	150
722	150
723	150
724	150
725	150
726	150
727	149
728	149
729	149
730	148
731	148
732	148
733	147
734	146
735	146
736	145
737	144
738	143
739	142
740	142
741	141
742	140
743	140
744	140
745	139
746	138
747	138
748	138
749	139
750	139
751	139
752	140
753	140
754	140
755	141
756	142
757	142
758	142
759	143
760	144
761	145
762	146
763	146
764	147
765	148
766	148
767	149
768	150
769	150
770	150
771	150
772	151
773	150
774	150
775	150
776	150
777	150
778	150
779	149
780	148
781	148
782	147
783	146
784	146
785	145
786	144
787	143
788	143
789	142
790	142
791	141
792	140
793	140
794	139
795	139
796	139
797	139
798	139
799	140
800	140
801	139
802	140
803	141
804	141
805	142
806	142
807	143
808	144
809	144
810	145
811	146
812	147
813	147
814	148
815	148
816	149
817	149
818	149
819	150
820	150
821	150
822	150
823	150
824	150
825	150
826	150
827	149
828	148
829	148
830	147
831	147
832	146
833	145
834	145
835	144
836	143
837	142
838	141
839	140
840	140
841	140
842	140
843	140
844	139
845	139
846	139
847	139
848	138
849	139
850	139
851	139
852	141
853	141
854	142
855	142
856	143
857	144
858	144
859	144
860	145
861	146
862	147
863	147
864	148
865	148
866	149
867	149
868	150
869	150
870	150
871	150
872	150
873	150
874	148
875	149
876	149
877	148
878	148
879	147
880	146
881	146
882	144
883	144
884	144
885	143
886	142
887	141
888	140
889	140
890	140
891	139
892	138
893	138
894	138
895	138
896	138
897	139
898	139
899	139
900	139
901	140
902	141
903	141
904	142
905	143
906	143
907	144
908	145
909	145
910	146
911	147
912	148
913	148
914	149
915	150
916	149
917	150
918	150
919	150
920	150
921	150
922	150
923	150
924	149
925	148
926	148
927	148
928	147
929	146
930	146
931	144
932	144
933	143
934	142
935	142
936	141
937	140
938	140
939	140
940	140
941	139
942	139
943	139
944	138
945	139
946	139
947	139
948	140
949	140
950	141
951	141
952	142
953	143
954	143
955	144
956	144
